date,open,high,low,close,volume
2023-12-28,57.9500,58.6075,57.8700,58.5700,5238718
2023-12-27,57.8000,58.0200,57.5800,58.0000,5612680
2023-12-26,56.9200,57.7400,56.8700,57.7000,4211981
2023-12-22,57.2000,57.6450,56.8300,56.8900,5287242
2023-12-21,57.1500,57.5300,56.5700,56.9600,5859918
2023-12-20,57.1100,57.7200,56.6800,56.7000,5402893
2023-12-19,56.7100,57.3600,56.6300,57.1200,6178002
2023-12-18,57.4000,57.4900,56.4900,56.5100,8848798
2023-12-15,57.6300,57.8499,56.7400,57.2900,20187176
2023-12-14,57.5000,58.2400,57.4500,57.8200,11549483
2023-12-13,54.7700,56.8900,54.5600,56.6200,8882402
2023-12-12,54.4400,54.6300,53.9600,54.4800,5013284
2023-12-11,54.0000,54.5300,53.7801,54.3900,6461061
2023-12-08,54.3000,54.5650,53.5600,53.8600,6647990
2023-12-07,54.6000,55.1800,54.3200,54.6900,6195448
2023-12-06,55.8300,56.4500,54.7000,54.7100,11181791
2023-12-05,55.4700,55.5700,54.7500,54.9200,7666135
2023-12-04,54.4100,55.6700,54.4100,55.5300,7323500
2023-12-01,53.8500,54.7500,53.7500,54.6000,6197083
2023-11-30,53.6300,54.1100,53.1500,53.9600,10126170
2023-11-29,54.2000,54.5000,53.5700,53.6700,5561488
2023-11-28,53.9400,54.4500,53.7700,53.8100,6855756
2023-11-27,53.9700,54.3350,53.6500,54.1300,4751906
2023-11-24,53.2600,53.9700,53.1100,53.9100,2454243
2023-11-22,53.9900,54.0400,53.0900,53.3100,3994429
2023-11-21,53.0000,53.6199,52.7850,53.5500,5302066
2023-11-20,52.8000,53.4200,52.5100,53.2200,4948678
2023-11-17,53.4300,53.4900,52.7400,52.9100,7215723
2023-11-16,52.6600,53.2750,52.4100,53.0900,7522916
2023-11-15,52.2100,52.8150,52.1800,52.4700,5937811
2023-11-14,51.0000,52.7700,50.8900,52.1400,7029220
2023-11-13,49.9500,50.0000,49.5200,49.9000,6125070
2023-11-10,50.4100,50.5300,49.8500,50.0600,5191101
2023-11-09,51.3000,51.3750,49.8500,50.1700,5464344
2023-11-08,50.7300,51.3600,50.7270,51.2000,5455147
2023-11-07,50.8500,50.9900,50.0350,50.7000,5787020
2023-11-06,50.7600,50.8300,50.2510,50.4600,7734828
2023-11-03,50.8700,51.3700,50.7900,50.8500,6433080
2023-11-02,48.8900,50.2000,48.6750,50.0300,9626534
2023-11-01,47.6600,48.1400,47.2200,47.9900,8149281
2023-10-31,46.3500,47.5200,45.9300,47.3800,18220467
2023-10-30,47.5000,48.2100,45.0350,46.2200,36132681
2023-10-27,49.7900,49.8700,48.8100,49.0000,4107856
2023-10-26,49.4300,50.2200,49.4300,49.7900,4299184
2023-10-25,49.4200,49.6200,49.0700,49.2800,3336335
2023-10-24,49.1900,49.7000,49.1400,49.6000,4002432
2023-10-23,49.0000,49.5800,48.6100,49.0100,4859131
2023-10-20,49.4200,49.8150,49.3400,49.3500,4965910
2023-10-19,49.7400,50.3800,49.3500,49.4200,4883204
2023-10-18,50.6000,50.8000,49.8800,49.9100,3930813
2023-10-17,50.5900,51.2900,50.4000,50.9700,6089872
2023-10-16,50.6000,51.0150,49.9420,50.7400,4545474
2023-10-13,50.5500,50.7500,50.2000,50.5900,3231995
2023-10-12,50.8100,50.9400,50.0600,50.2800,4110385
2023-10-11,50.6600,51.2072,50.5415,50.9500,4027264
2023-10-10,50.1900,50.4200,49.1780,50.2000,6226324
2023-10-09,49.9100,50.8500,49.9000,50.5500,3747264
2023-10-06,49.8050,50.5399,49.3750,50.1100,4249247
2023-10-05,49.5300,50.1491,49.3000,50.0600,5067184
2023-10-04,49.1200,49.5900,48.6650,49.5700,5468686
2023-10-03,48.8100,49.0900,48.4150,48.8900,6352389
2023-10-02,49.8200,49.9800,48.7600,48.9900,6159050
2023-09-29,49.9800,50.5300,49.6250,49.9400,5298544
2023-09-28,49.7900,50.0767,49.5800,49.6200,5850056
2023-09-27,50.5800,50.9400,49.3800,49.6600,5416527
2023-09-26,51.0000,51.1950,49.9500,50.2600,5231355
2023-09-25,51.5000,51.5200,50.8500,51.1900,5307183
2023-09-22,52.0700,52.4000,51.5150,51.5600,6982154
2023-09-21,53.4300,53.5500,52.0400,52.0600,8679561
2023-09-20,54.2500,54.6075,53.7307,53.8000,3738345
2023-09-19,53.7000,54.2500,53.6800,54.0000,4395544
2023-09-18,54.3600,54.3900,53.6500,53.7300,5925296
2023-09-15,54.9500,54.9900,53.9800,54.1000,18363013
2023-09-14,55.2700,55.4300,55.0500,55.1200,5902130
2023-09-13,55.4200,55.5400,55.0000,55.0600,4928366
2023-09-12,55.1500,55.3450,54.9150,55.1500,3704514
2023-09-11,55.4800,55.5300,55.0450,55.1700,3698628
2023-09-08,55.3500,55.7400,55.2100,55.3200,4244818
2023-09-07,54.9800,55.4400,54.9700,55.0800,5821337
2023-09-06,55.4300,55.4800,54.7600,54.9900,4915139
2023-09-05,56.1700,56.1800,55.2300,55.2500,5264600
2023-09-01,56.3000,56.5900,56.0100,56.2000,3864148
2023-08-31,56.3200,56.3600,55.9900,56.0400,6971225
2023-08-30,56.3500,56.6000,56.0650,56.5600,9020893
2023-08-29,56.5000,56.5100,56.0450,56.4700,4698828
2023-08-28,56.2000,56.6500,55.9200,56.4700,8568871
2023-08-25,56.4000,56.4550,55.8100,56.0000,8429041
2023-08-24,57.1400,57.5500,56.3600,56.3600,5722358
2023-08-23,56.5400,57.2219,56.5000,57.1100,5834864
2023-08-22,56.4850,56.6200,56.1500,56.3200,3451102
2023-08-21,56.8200,56.9100,55.9600,56.2300,4748853
2023-08-18,56.5600,57.2200,56.5300,56.9000,4842064
2023-08-17,57.0100,57.6150,56.8500,56.8800,5229520
2023-08-16,57.4900,57.6000,56.8200,56.8700,5102014
2023-08-15,57.7200,57.7200,56.8400,57.4300,6157706
2023-08-14,58.4700,58.6200,57.8202,57.9400,6150105
2023-08-11,58.6500,58.7800,58.3300,58.6200,5070276
2023-08-10,59.5500,59.6100,58.5500,58.7900,6938463
2023-08-09,58.8800,59.8050,58.6600,59.5100,3896102
2023-08-08,59.7100,59.8200,58.8800,59.0000,4465570
