close,fclose,fhigh,flow,fopen,fvolume,high,low,open,priceDate,symbol,uclose,uhigh,ulow,uopen,uvolume,volume,id,key,subkey,date,updated
237.49,237.49,240.1196,234.9001,236.86,92488939,240.1196,234.9001,236.86,2024-01-05,TSLA,237.49,240.1196,234.9001,236.86,92488939,92488939,HISTORICAL_PRICES,TSLA,,1704412800000,1704511820000
237.93,237.93,242.7,237.73,239.25,102629283,242.7,237.73,239.25,2024-01-04,TSLA,237.93,242.7,237.73,239.25,102629283,102629283,HISTORICAL_PRICES,TSLA,,1704326400000,1704420063000
238.45,238.45,245.68,236.32,244.98,121082599,245.68,236.32,244.98,2024-01-03,TSLA,238.45,245.68,236.32,244.98,121082599,121082599,HISTORICAL_PRICES,TSLA,,1704240000000,1704333623000
248.42,248.42,251.25,244.41,250.08,104654163,251.25,244.41,250.08,2024-01-02,TSLA,248.42,251.25,244.41,250.08,104654163,104654163,HISTORICAL_PRICES,TSLA,,1704153600000,1704247270000
248.48,248.48,255.19,247.43,255.1,100891578,255.19,247.43,255.1,2023-12-29,TSLA,248.48,255.19,247.43,255.1,100891578,100891578,HISTORICAL_PRICES,TSLA,,1703808000000,1703903470000
253.18,253.18,265.13,252.71,263.66,113619943,265.13,252.71,263.66,2023-12-28,TSLA,253.18,265.13,252.71,263.66,113619943,113619943,HISTORICAL_PRICES,TSLA,,1703721600000,1703815235000
261.44,261.44,263.34,257.52,258.35,106494359,263.34,257.52,258.35,2023-12-27,TSLA,261.44,263.34,257.52,258.35,106494359,106494359,HISTORICAL_PRICES,TSLA,,1703635200000,1703732442000
256.61,256.61,257.97,252.91,254.49,86892382,257.97,252.91,254.49,2023-12-26,TSLA,256.61,257.97,252.91,254.49,86892382,86892382,HISTORICAL_PRICES,TSLA,,1703548800000,1703642449000
252.54,252.54,258.22,251.37,256.76,93370094,258.22,251.37,256.76,2023-12-22,TSLA,252.54,258.22,251.37,256.76,93370094,93370094,HISTORICAL_PRICES,TSLA,,1703203200000,1703305902000
254.5,254.5,254.7999,248.55,251.9,109594227,254.7999,248.55,251.9,2023-12-21,TSLA,254.5,254.7999,248.55,251.9,109594227,109594227,HISTORICAL_PRICES,TSLA,,1703116800000,1703210469000
247.14,247.14,259.84,247,256.41,125096987,259.84,247,256.41,2023-12-20,TSLA,247.14,259.84,247,256.41,125096987,125096987,HISTORICAL_PRICES,TSLA,,1703030400000,1703124072000
257.22,257.22,258.3399,253.01,253.48,106737369,258.3399,253.01,253.48,2023-12-19,TSLA,257.22,258.3399,253.01,253.48,106737369,106737369,HISTORICAL_PRICES,TSLA,,1702944000000,1703050256000
252.08,252.08,258.74,251.36,253.78,116416490,258.74,251.36,253.78,2023-12-18,TSLA,252.08,258.74,251.36,253.78,116416490,116416490,HISTORICAL_PRICES,TSLA,,1702857600000,1702951278000
253.5,253.5,254.13,248.3,251.21,135932762,254.13,248.3,251.21,2023-12-15,TSLA,253.5,254.13,248.3,251.21,135932762,135932762,HISTORICAL_PRICES,TSLA,,1702598400000,1702693911000
251.05,251.05,253.88,240.79,241.22,160829239,253.88,240.79,241.22,2023-12-14,TSLA,251.05,253.88,240.79,241.22,160829239,160829239,HISTORICAL_PRICES,TSLA,,1702512000000,1702605696000
239.29,239.29,240.3,228.2,234.19,146286348,240.3,228.2,234.19,2023-12-13,TSLA,239.29,240.3,228.2,234.19,146286348,146286348,HISTORICAL_PRICES,TSLA,,1702425600000,1702519250000
237.01,237.01,238.99,233.87,238.55,95328313,238.99,233.87,238.55,2023-12-12,TSLA,237.01,238.99,233.87,238.55,95328313,95328313,HISTORICAL_PRICES,TSLA,,1702339200000,1702432856000
239.74,239.74,243.441,237.45,242.74,97913888,243.441,237.45,242.74,2023-12-11,TSLA,239.74,243.441,237.45,242.74,97913888,97913888,HISTORICAL_PRICES,TSLA,,1702252800000,1702346438000
