type,name,symbol,performance,lastUpdated
sector,Technology,XLK,-0.00018,1705434646262
sector,Consumer Discretionary,XLY,-0.00313,1705434590328
sector,Communication Services,XLC,-0.00535,1705434655373
sector,Health Care,XLV,-0.00605,1705434583993
sector,Real Estate,XLRE,-0.00708,1705434649179
sector,Consumer Staples,XLP,-0.00797,1705434669808
sector,Utilities,XLU,-0.00884,1705434702199
sector,Financials,XLF,-0.00918,1705434698083
sector,Industrials,XLI,-0.01209,1705434705992
sector,Materials,XLB,-0.01228,1705434667711
sector,Energy,XLE,-0.02008,1705434712231
