date,weather_code,temperature_2m_max,temperature_2m_min
2019-01-05 05:00:00,63.0,7.3675003,2.8174999
2019-01-06 05:00:00,51.0,8.867499,-0.98249996
2019-01-07 05:00:00,71.0,0.11750001,-5.1324997
2019-01-08 05:00:00,51.0,8.4175,0.51750004
2019-01-09 05:00:00,61.0,6.9175,0.2675
2019-01-10 05:00:00,3.0,0.76750004,-2.0825
2019-01-11 05:00:00,3.0,-1.3325,-5.7825
2019-01-12 05:00:00,3.0,1.7674999,-6.4325
2019-01-13 05:00:00,71.0,-0.1825,-4.0825
2019-01-14 05:00:00,3.0,0.76750004,-6.0825
2019-01-15 05:00:00,3.0,3.3174999,-6.0825
2019-01-16 05:00:00,3.0,4.5675,-3.9325001
2019-01-17 05:00:00,3.0,-0.1325,-5.5825
2019-01-18 05:00:00,73.0,3.6675,-1.9325
2019-01-19 05:00:00,73.0,3.2675,-3.8825
2019-01-20 05:00:00,73.0,10.2675,-10.632501
2019-01-21 05:00:00,3.0,-10.632501,-14.882501
2019-01-22 05:00:00,1.0,-2.1325,-11.4325
2019-01-23 05:00:00,51.0,8.1675,-2.5325
2019-01-24 05:00:00,63.0,12.6675,0.3175
2019-01-25 05:00:00,3.0,2.9675,-3.7325
2019-01-26 05:00:00,3.0,0.76750004,-6.4325
2019-01-27 05:00:00,3.0,8.6675,-2.7325
2019-01-28 05:00:00,3.0,1.5675,-5.6825
2019-01-29 05:00:00,73.0,5.0675,-5.8824997
2019-01-30 05:00:00,73.0,0.4175,-14.5325
2019-01-31 05:00:00,0.0,-8.382501,-16.5325
2019-02-01 05:00:00,3.0,-5.2324996,-12.9825
2019-02-02 05:00:00,1.0,1.8175,-10.7825
2019-02-03 05:00:00,1.0,8.9675,-4.8325
2019-02-04 05:00:00,0.0,11.3175,-2.2825
2019-02-05 05:00:00,2.0,17.0175,0.5675
2019-02-06 05:00:00,63.0,7.1675,-1.3825
2019-02-07 05:00:00,61.0,7.7175,2.5674999
2019-02-08 05:00:00,61.0,10.7175,-0.98249996
2019-02-09 05:00:00,0.0,0.61749995,-5.0325
2019-02-10 05:00:00,3.0,2.7675,-6.7825
2019-02-11 05:00:00,71.0,2.9175,-1.9825001
2019-02-12 05:00:00,75.0,1.5174999,-3.1825001
2019-02-13 05:00:00,53.0,5.5675,-1.7825
2019-02-14 05:00:00,3.0,6.9175,-2.5825
2019-02-15 05:00:00,51.0,12.0675,3.1675
2019-02-16 05:00:00,3.0,5.6175003,-2.3325
2019-02-17 05:00:00,53.0,1.9675,-5.4824996
2019-02-18 05:00:00,73.0,6.6675,-3.7325
2019-02-19 05:00:00,1.0,2.3174999,-5.4824996
2019-02-20 05:00:00,75.0,0.017500002,-4.1324997
2019-02-21 05:00:00,61.0,11.7175,0.0675
2019-02-22 05:00:00,1.0,7.0175004,-0.2825
2019-02-23 05:00:00,53.0,4.5175004,-2.3825
2019-02-24 05:00:00,63.0,9.867499,2.4675
2019-02-25 05:00:00,3.0,4.7675004,-2.8825
2019-02-26 05:00:00,2.0,3.2675,-4.6324997
2019-02-27 05:00:00,71.0,-1.8325,-5.2825
2019-02-28 05:00:00,73.0,2.6175,-3.6325
2019-03-01 05:00:00,73.0,2.9675,-3.3825
2019-03-02 05:00:00,75.0,3.1675,-0.9325
2019-03-03 05:00:00,75.0,5.6675,-2.5325
2019-03-04 05:00:00,75.0,2.2675,-7.3325
2019-03-05 05:00:00,1.0,-0.4325,-13.6825
2019-03-06 05:00:00,3.0,-3.1325,-9.4325
2019-03-07 05:00:00,71.0,0.6675,-9.132501
2019-03-08 05:00:00,3.0,2.3675,-7.8824997
2019-03-09 05:00:00,1.0,7.8675003,-4.7825
2019-03-10 05:00:00,73.0,10.0675,1.1175
2019-03-11 05:00:00,3.0,10.9175,1.9675
2019-03-12 05:00:00,3.0,5.0175004,-1.5825
2019-03-13 05:00:00,3.0,5.9675,-4.5825
2019-03-14 05:00:00,2.0,10.617499,1.2674999
2019-03-15 05:00:00,63.0,20.817501,9.367499
2019-03-16 05:00:00,3.0,11.4175,1.6675
2019-03-17 05:00:00,3.0,5.6175003,-1.9825001
2019-03-18 05:00:00,3.0,6.4675,-3.6325
